Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Daily Visitation,November 29,664,0,Infinity
Daily Visitation,November 30,744,0,Infinity
Daily Visitation,November 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"21,169",,0.0,"1,932,722",,0.0,"96,942"
Non-Recreation Visitors,"11,907",,0.0,"675,774",,0.0,"38,530"
Total Visitors,"33,076",,0.0,"2,608,496",,0.0,"135,472"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Dec 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,December 1,731,0,Infinity
Daily Visitation,December 2,626,0,Infinity
Daily Visitation,December 3,688,0,Infinity
Daily Visitation,December 4,"1,118",0,Infinity
Daily Visitation,December 5,466,0,Infinity
Daily Visitation,December 6,461,0,Infinity
Daily Visitation,December 7,733,0,Infinity
Daily Visitation,December 8,731,0,Infinity
Daily Visitation,December 9,588,0,Infinity
Daily Visitation,December 10,831,0,Infinity
Daily Visitation,December 11,928,0,Infinity
Daily Visitation,December 12,731,0,Infinity
Daily Visitation,December 13,564,0,Infinity
Daily Visitation,December 14,753,0,Infinity
Daily Visitation,December 15,583,0,Infinity
Daily Visitation,December 16,234,0,Infinity
Daily Visitation,December 17,572,0,Infinity
Daily Visitation,December 18,834,0,Infinity
Daily Visitation,December 19,738,0,Infinity
Daily Visitation,December 20,764,0,Infinity
Daily Visitation,December 21,634,0,Infinity
Daily Visitation,December 22,572,0,Infinity
Daily Visitation,December 23,529,0,Infinity
Daily Visitation,December 24,378,0,Infinity
Daily Visitation,December 25,866,0,Infinity
Daily Visitation,December 26,"1,471",0,Infinity
Daily Visitation,December 27,"1,047",0,Infinity
Daily Visitation,December 28,"1,719",0,Infinity
Daily Visitation,December 29,"1,563",0,Infinity
Daily Visitation,December 30,"1,725",0,Infinity
Daily Visitation,December 31,"1,136",0,Infinity

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"17,478",,0.0,"1,950,200",,0.0,"114,419"
Non-Recreation Visitors,"7,852",,0.0,"683,626",,0.0,"46,383"
Total Visitors,"25,330",,0.0,"2,633,826",,0.0,"160,802"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1994,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,January 1,"1,288",904,42.5
Daily Visitation,January 2,993,"1,132",-12.3
Daily Visitation,January 3,684,729,-6.2
Daily Visitation,January 4,640,470,36.2
Daily Visitation,January 5,530,588,-9.9
Daily Visitation,January 6,551,523,5.4
Daily Visitation,January 7,619,645,-4.0
Daily Visitation,January 8,602,295,104.1
Daily Visitation,January 9,717,170,321.8
Daily Visitation,January 10,566,302,87.4
Daily Visitation,January 11,728,369,97.3
Daily Visitation,January 12,662,314,110.8
Daily Visitation,January 13,480,288,66.7
Daily Visitation,January 14,481,434,10.8
Daily Visitation,January 15,593,458,29.5
Daily Visitation,January 16,513,765,-32.9
Daily Visitation,January 17,268,753,-64.4
Daily Visitation,January 18,480,604,-20.5
Daily Visitation,January 19,525,465,12.9
Daily Visitation,January 20,592,534,10.9
Daily Visitation,January 21,823,489,68.3
Daily Visitation,January 22,"1,473",523,181.6
Daily Visitation,January 23,"1,008",603,67.2
Daily Visitation,January 24,538,645,-16.6
Daily Visitation,January 25,590,561,5.2
Daily Visitation,January 26,507,669,-24.2
Daily Visitation,January 27,552,511,8.0
Daily Visitation,January 28,601,681,-11.7
Daily Visitation,January 29,592,494,19.8
Daily Visitation,January 30,432,904,-52.2
Daily Visitation,January 31,463,943,-50.9

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"14,086","12,445",13.2,"14,086","12,445",13.2,"128,505"
Non-Recreation Visitors,"6,037","5,334",13.2,"6,037","5,334",13.2,"52,419"
Total Visitors,"20,123","17,779",13.2,"20,123","17,779",13.2,"180,925"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Feb 1994,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,February 1,641,798,-19.7
